date,avg_sentiment,news_count
27-04-2010,-0.061891667,12
28-04-2010,0.02916,10
29-04-2010,0.078957143,7
30-04-2010,-0.142975,4
02-05-2010,0,1
03-05-2010,0.016858333,12
04-05-2010,0.015816667,12
05-05-2010,-0.131557143,7
06-05-2010,0.124675,8
07-05-2010,0.10123,10
08-05-2010,-0.1562,2
10-05-2010,0.143441667,12
11-05-2010,0.134753086,81
12-05-2010,0.209560606,33
13-05-2010,0.2404625,8
14-05-2010,-0.083683333,12
17-05-2010,-0.017145455,11
18-05-2010,0.0102375,8
19-05-2010,0.019364286,14
20-05-2010,0.044353846,13
21-05-2010,0.02145,6
24-05-2010,0.062685,20
25-05-2010,-0.0207,7
26-05-2010,0.15655,12
27-05-2010,0.074488889,9
28-05-2010,-0.1193125,8
31-05-2010,0,1
01-06-2010,0.050775,12
02-06-2010,-0.041766667,9
03-06-2010,0.06122,15
04-06-2010,-0.0131375,8
07-06-2010,-0.006746154,13
08-06-2010,0.056926316,19
09-06-2010,0.108764286,14
10-06-2010,-0.178155556,9
11-06-2010,0.14719,10
14-06-2010,0.074363636,11
15-06-2010,0.033716667,6
16-06-2010,0.127833333,15
17-06-2010,0.022863636,11
18-06-2010,0.038709524,21
20-06-2010,0,1
21-06-2010,0.158314286,7
22-06-2010,0.13219,10
23-06-2010,0.02935,12
24-06-2010,0.18318,5
25-06-2010,-0.000275,8
26-06-2010,0.6249,1
28-06-2010,0.1153,12
29-06-2010,0.075444444,9
30-06-2010,0.123475,12
01-07-2010,-0.047127273,11
02-07-2010,0.0845,3
05-07-2010,0,1
06-07-2010,0.251725,4
07-07-2010,0.10083,10
08-07-2010,0.010778571,14
09-07-2010,0.185475,4
12-07-2010,-0.21075,2
13-07-2010,0.025622222,9
14-07-2010,-0.21168,5
15-07-2010,0.17194375,16
16-07-2010,-0.0193625,8
18-07-2010,0.34,1
19-07-2010,0.1576,16
20-07-2010,0.17436875,16
21-07-2010,0.118981818,11
22-07-2010,0.01456,10
23-07-2010,0.04046,5
25-07-2010,0.2263,1
26-07-2010,0.073022222,9
27-07-2010,0.188635714,14
28-07-2010,-0.025230769,13
29-07-2010,0.148733333,6
30-07-2010,0.104375,12
02-08-2010,0.018683333,6
03-08-2010,-0.048333333,9
04-08-2010,-0.0107,11
05-08-2010,0.045344444,18
06-08-2010,0.10814,10
09-08-2010,0.071553846,13
10-08-2010,0.025,10
11-08-2010,-0.033007692,13
12-08-2010,0.040410526,19
13-08-2010,-0.08026,5
14-08-2010,-0.31245,2
16-08-2010,0.043178571,14
17-08-2010,0.10493125,16
18-08-2010,0.076942857,14
19-08-2010,0.090713333,15
20-08-2010,0.269666667,9
23-08-2010,-0.055709091,22
24-08-2010,0.206257143,7
25-08-2010,0.067516667,6
26-08-2010,0.088807143,14
27-08-2010,-0.081742857,7
30-08-2010,0.041964286,14
31-08-2010,0.138089474,19
01-09-2010,0.11902,15
02-09-2010,0.03937,10
03-09-2010,0.0784,11
07-09-2010,0.122985,20
08-09-2010,0.122926471,34
09-09-2010,0.030915385,13
10-09-2010,0.145342857,14
11-09-2010,0.36845,2
13-09-2010,0.040166667,15
14-09-2010,0.1806,24
15-09-2010,0.036361538,13
16-09-2010,0.17324,20
17-09-2010,0.097326316,19
20-09-2010,0.04694375,16
21-09-2010,0.046266667,21
22-09-2010,0.065644444,27
23-09-2010,0.193785185,27
24-09-2010,0.173338889,18
25-09-2010,0.26335,2
26-09-2010,0,2
27-09-2010,0.115725,20
28-09-2010,0.120576471,17
29-09-2010,0.189810345,29
30-09-2010,0.209722727,22
01-10-2010,0.205772727,11
02-10-2010,0,2
03-10-2010,-0.7845,1
04-10-2010,0.139811111,18
05-10-2010,0.141564706,17
06-10-2010,0.090734783,23
07-10-2010,0.164244444,9
08-10-2010,0.065768421,19
10-10-2010,0,1
11-10-2010,0.206566667,12
12-10-2010,0.235835714,14
