date,avg_sentiment,news_count
2018-07-06,-0.162998438,64
2018-07-07,-0.344588889,9
2018-07-08,-0.174943478,23
2018-07-09,-0.098066667,57
2018-07-10,0.013091228,57
2018-07-11,-0.129442857,63
2018-07-12,-0.0403125,56
2018-07-13,-0.027568132,91
2018-07-14,-0.07655,2
2018-07-15,-0.078545455,11
2018-07-16,0.030072289,83
2018-07-17,-0.039666667,81
2018-07-18,0.006814943,87
2018-07-19,-0.083260215,93
2018-07-20,-0.079461765,34
2018-07-21,-0.041417647,34
2018-07-22,-0.017125,8
2018-07-23,0.001394444,54
2018-07-24,-0.0223675,80
2018-07-25,-0.00624,65
2018-07-26,0.022161333,75
2018-07-27,0.073232558,43
2018-07-28,-0.110740741,27
2018-07-29,0.04642,5
2018-07-30,-0.028057407,54
2018-07-31,-0.029650562,89
2018-08-01,0.017655319,47
2018-08-02,-0.055570513,78
2018-08-03,0.059160526,38
2018-08-04,-0.00127037,27
2018-08-05,0.003792,25
2018-08-06,0.003445614,57
2018-08-07,0.044420339,59
2018-08-08,-0.072505634,71
2018-08-09,0.008292727,55
2018-08-10,-0.180979167,48
2018-08-11,-0.1101,4
2018-08-12,-0.21458,25
2018-08-13,-0.094242105,57
2018-08-14,-0.050192308,52
2018-08-15,-0.073848101,79
2018-08-16,-0.012286538,52
2018-08-17,-0.034365789,38
2018-08-18,-0.113169565,23
2018-08-19,0.22625,4
2018-08-20,-0.065433333,72
2018-08-21,0.042007692,26
2018-08-22,0.054675,52
2018-08-23,-0.079275,64
2018-08-24,-0.109625,56
2018-08-25,-0.04625,6
2018-08-26,-0.071855556,27
2018-08-27,-0.036912903,62
2018-08-28,0.006021569,51
2018-08-29,-0.026146154,52
2018-08-30,-0.055223214,56
2018-08-31,-0.01949403,67
2018-09-01,-0.007296154,26
2018-09-02,-0.034590909,11
2018-09-03,-0.014012121,33
2018-09-04,-0.02662,60
2018-09-05,-0.029594505,91
2018-09-06,-0.036450877,57
2018-09-07,-0.012941667,60
2018-09-08,-0.199083333,6
2018-09-09,-0.04039375,32
2018-09-10,-0.009684906,53
2018-09-11,-0.00124127,63
2018-09-12,-0.033917391,69
2018-09-13,-0.040912766,94
2018-09-14,0.049312857,70
2018-09-15,-0.042878261,23
2018-09-16,-0.115657576,33
2018-09-17,-0.039075,60
2018-09-18,-0.094552381,63
2018-09-19,-0.050759649,57
2018-09-20,-0.104475,84
2018-09-21,-0.072430435,46
2018-09-22,-0.1282,5
2018-09-23,-0.08295,34
2018-09-24,-0.016228,50
2018-09-25,-0.006818966,58
2018-09-26,-0.037107246,69
2018-09-27,-0.021798077,52
2018-09-28,-0.038754286,70
2018-09-29,-0.061164,25
2018-09-30,0.114736364,11
2018-10-01,0.029847917,96
2018-10-02,0.06370566,53
2018-10-03,-0.06272,55
2018-10-04,-0.002087671,73
2018-10-05,-0.071231034,58
2018-10-06,0.267933333,3
2018-10-07,-0.104181481,27
2018-10-08,0.048014,50
2018-10-09,0.032165517,58
