Date,Gold_Close,USD_Close,avg_sentiment,news_count,Gold_7day_MA,Gold_30day_MA,USD_7day_MA
2018-03-29,30426.0,90.15,-0.08184557,79.0,30631.571428571428,30486.133333333335,89.67
2018-04-02,30961.0,90.05,-0.072491071,56.0,30702.571428571428,30492.0,89.70857142857143
2018-04-03,30625.0,90.2,0.001644,75.0,30719.571428571428,30489.0,89.75714285714287
2018-04-04,30886.0,90.14,-0.02930098,102.0,30717.428571428572,30501.066666666666,89.85142857142857
2018-04-05,30505.0,90.46,-0.02404058,69.0,30662.571428571428,30502.6,90.05571428571429
2018-04-06,30605.0,90.11,-0.143327273,77.0,30646.571428571428,30503.966666666667,90.16714285714285
2018-04-09,30675.0,89.84,-0.026339474,76.0,30669.0,30510.066666666666,90.13571428571429
2018-04-10,30798.0,89.59,0.003909783,92.0,30722.14285714286,30519.4,90.05571428571429
2018-04-11,31244.0,89.57,0.03445,88.0,30762.571428571428,30550.666666666668,89.98714285714286
2018-04-12,30897.0,89.75,0.012076812,69.0,30801.428571428572,30566.466666666667,89.92285714285713
2018-04-13,31005.0,89.8,-0.022227692,65.0,30818.428571428572,30593.933333333334,89.87428571428572
2018-04-16,31167.0,89.42,-0.029667143,70.0,30913.0,30617.066666666666,89.72571428571429
2018-04-17,31257.0,89.52,-0.030350704,71.0,31006.14285714286,30644.666666666668,89.64142857142858
2018-04-18,31410.0,89.62,-0.043240678,59.0,31111.14285714286,30672.733333333334,89.61
2018-04-19,31479.0,89.94,-0.058798571,70.0,31208.428571428572,30706.666666666668,89.66
2018-04-20,31314.0,90.32,-0.044165333,75.0,31218.428571428572,30735.933333333334,89.76714285714286
2018-04-23,31164.0,90.95,-0.03422807,57.0,31256.571428571428,30761.133333333335,89.93857142857144
2018-04-24,31262.0,90.77,0.042497368,76.0,31293.285714285714,30791.866666666665,90.07714285714285
2018-04-25,31301.0,91.17,-0.016264646,99.0,31312.428571428572,30822.333333333332,90.32714285714285
2018-04-26,31158.0,91.56,0.059406757,74.0,31298.285714285714,30847.166666666668,90.61857142857143
2018-04-27,31129.0,91.54,-0.02378125,64.0,31258.14285714286,30874.333333333332,90.89285714285714
2018-04-30,30947.0,91.84,-0.019507937,63.0,31182.14285714286,30897.533333333333,91.16428571428571
2018-05-01,30874.0,92.45,0.018807229,83.0,31119.285714285714,30912.266666666666,91.46857142857142
2018-05-02,30926.0,92.51,0.032954717,53.0,31085.285714285714,30933.666666666668,91.69142857142857
2018-05-03,31003.0,92.41,-0.084722951,61.0,31048.285714285714,30951.633333333335,91.92571428571429
2018-05-04,31068.0,92.57,-0.038842857,63.0,31015.0,30970.366666666665,92.12571428571428
2018-05-07,31247.0,92.75,-0.096607273,55.0,31027.714285714286,30981.9,92.29571428571428
2018-05-08,31200.0,93.12,-0.034592424,66.0,31037.85714285714,30992.266666666666,92.52142857142857
2018-05-09,31303.0,93.04,-0.034223529,68.0,31088.714285714286,31011.8,92.69285714285715
2018-05-10,31352.0,92.65,-0.020574138,58.0,31157.0,31039.6,92.72142857142858
2018-05-11,31500.0,92.54,0.024440323,62.0,31239.0,31075.4,92.72571428571428
2018-05-14,31496.0,92.59,0.117704878,82.0,31309.428571428572,31093.233333333334,92.75142857142858
2018-05-15,31186.0,93.22,-0.018918072,83.0,31326.285714285714,31111.933333333334,92.84428571428573
2018-05-16,31007.0,93.39,-0.068469565,92.0,31292.0,31115.966666666667,92.9357142857143
2018-05-17,30986.0,93.47,-0.01794086,93.0,31261.428571428572,31132.0,92.9857142857143
2018-05-18,31093.0,93.64,-0.06315,94.0,31231.428571428572,31148.266666666666,93.07142857142857
2018-05-21,31114.0,93.68,-0.060258571,70.0,31197.428571428572,31162.9,93.21857142857142
2018-05-22,31111.0,93.61,-0.089921739,69.0,31141.85714285714,31173.333333333332,93.37142857142858
2018-05-23,31186.0,94.0,-0.10342381,63.0,31097.571428571428,31171.4,93.57285714285715
2018-05-24,31461.0,93.76,-0.036048649,74.0,31136.85714285714,31190.2,93.64999999999999
2018-05-25,31194.0,94.19,-0.07060274,73.0,31163.571428571428,31196.5,93.76428571428572
2018-05-28,30971.0,94.19,0.006969231,13.0,31161.428571428572,31189.966666666667,93.86714285714285
2018-05-29,31184.0,94.83,-0.067675904,83.0,31174.428571428572,31187.533333333333,94.03714285714285
2018-05-30,31030.0,94.15,-0.018071831,71.0,31162.428571428572,31174.866666666665,94.10428571428572
2018-05-31,30882.0,93.98,-0.103563855,83.0,31129.714285714286,31154.966666666667,94.15714285714286
2018-06-01,30568.0,94.19,-0.107708654,104.0,31041.428571428572,31130.1,94.18428571428572
2018-06-04,30708.0,94.02,-0.102365,100.0,30933.85714285714,31114.9,94.22142857142858
2018-06-05,30699.0,93.9,-0.040316438,73.0,30863.14285714286,31096.133333333335,94.17999999999999
2018-06-06,30755.0,93.66,-0.017615714,70.0,30832.285714285714,31077.933333333334,94.10428571428572
2018-06-07,31055.0,93.4,-0.05321383,94.0,30813.85714285714,31074.5,93.89999999999999
2018-06-08,31076.0,93.55,-0.017393056,72.0,30820.428571428572,31072.733333333334,93.81428571428572
2018-06-11,31035.0,93.58,-0.114966102,59.0,30842.285714285714,31075.666666666668,93.75714285714285
2018-06-12,30952.0,93.8,0.036540909,88.0,30897.14285714286,31078.266666666666,93.70142857142856
2018-06-13,30952.0,93.71,0.005143836,73.0,30932.0,31079.133333333335,93.65714285714284
2018-06-14,31145.0,94.77,0.0433,58.0,30995.714285714286,31083.866666666665,93.78142857142858
2018-06-15,30804.0,94.79,-0.048923377,77.0,31002.714285714286,31075.066666666666,93.94285714285715
2018-06-18,30773.0,94.8,-0.039933333,63.0,30962.428571428572,31059.266666666666,94.14285714285714
2018-06-19,30702.0,95.08,-0.099136559,93.0,30909.0,31042.666666666668,94.36142857142856
2018-06-20,30605.0,95.06,0.003470513,78.0,30847.571428571428,31019.4,94.57285714285715
2018-06-21,30451.0,94.74,0.007175714,70.0,30776.0,30989.366666666665,94.70714285714284
2018-06-22,30498.0,94.52,-0.056708475,59.0,30711.14285714286,30955.966666666667,94.82285714285715
2018-06-25,30540.0,94.28,-0.042623529,85.0,30624.714285714286,30924.1,94.75285714285714
2018-06-26,30480.0,94.66,-0.089247458,59.0,30578.428571428572,30900.566666666666,94.73428571428572
2018-06-27,30606.0,95.27,-0.117763014,73.0,30554.571428571428,30887.2,94.80142857142857
2018-06-28,30431.0,95.39,-0.084658667,75.0,30515.85714285714,30868.7,94.84571428571428
2018-06-29,30363.0,94.64,0.049543284,67.0,30481.285714285714,30844.366666666665,94.78571428571426
2018-07-02,30153.0,95.03,-0.106525333,75.0,30438.714285714286,30812.333333333332,94.82714285714287
2018-07-03,30469.0,94.67,-0.025716071,56.0,30434.571428571428,30790.933333333334,94.84857142857142
2018-07-04,30510.0,94.67,-0.036465957,47.0,30430.285714285714,30768.4,94.9042857142857
2018-07-05,30541.0,94.47,-0.079690164,61.0,30439.0,30737.733333333334,94.87714285714286
2018-07-06,30582.0,94.04,-0.162998438,64.0,30435.571428571428,30717.333333333332,94.70142857142858
2018-07-09,30638.0,94.08,-0.098066667,57.0,30465.14285714286,30706.233333333334,94.51428571428572
2018-07-10,30551.0,94.15,0.013091228,57.0,30492.0,30685.133333333335,94.44428571428571
2018-07-11,30344.0,94.72,-0.129442857,63.0,30519.285714285714,30662.266666666666,94.39999999999999
